ID,Título,Data,URL,Conteúdo,Categorias,Palavras-Chaves,É Evento,Tipo do Evento,Data Início Evento,Data Fim Evento,Local do Evento,Horário do Evento,É Pago,Valor do Evento
194,CARNAVAL 2025: nesta sexta-feira tem ensaio da Escola de Samba Copa Lord.,23/01/2025,https://folhadecoqueiros.com.br/programe-se-nesta-sexta-feira-tem-ensaio-da-escola-de-samba-embaixada-copa-lord/,"Foto Divulgação Fundação Hassis: Ensaio na Praça XV no Carnaval de 2024
A Praça XV, no centro de Florianópolis, vai ficar mais colorida e repleta de história nesta sexta-feira, dia 24. A partir das 20h, o público poderá conhecer e se divertir com o samba-enredo da Escola de Samba Embaixada Copa Lord, que vai homenagear o artista plástico Hassis.
O evento, que faz parte do tradicional Projeto Volta à Praça XV, reúne, a cada noite, apresentações das escolas de samba da Capital. De forma gratuita, os ensaios, que antecedem o Carnaval, seguem até o dia 1º de fevereiro.
Foto Divulgação Fundação Hassis: Ensaio Show na Rua Major Costa dia 6 de janeiro desse ano.
Por conta das chuvas que atingiram a cidade, a programação sofreu alguns ajustes. Veja abaixo:
CONFIRA A PROGRAMAÇÃO
23/01 (quinta-feira)
20h – Império Vermelho e Branco
24/01 (sexta-feira)
20h – Embaixada Copa Lord
25/01 (sábado)
20h – Unidos da Coloninha
30/01 (quinta-feira)
20h – Dascuia
31/01 (sexta-feira)
20h – Os Protegidos da Princesa
22h – União da Ilha da Magia
01/02 (sábado)
20h – Consulado
*Saiba mais sobre a homenagem ao Hassis no Portal da Folha de Coqueiros*
https://folhadecoqueiros.com.br/hassis-sera-homenageado-no-carnaval-copa-lord-traz-pra-avenida-muita-arte-cor-e-alegria/","Cultura, Eventos e Gastronomia","Coqueiros, Florianópolis, Fundação Hassis, Cultura, Evento",FALSE,,,,,,,
195,"Morre Ricardo Muller, ex-presidente da Associação Pró-Coqueiros.",20/01/2025,https://folhadecoqueiros.com.br/morre-ricardo-muller-ex-presidente-da-associacao-de-moradores-de-coqueiros/,"Foto Divulgação: Álbum de família/Abril de 2012
Faleceu na madrugada desta segunda-feira, dia 20, o aposentado Ricardo Muller, aos 75 anos. Ex-presidente da Associação de Moradores de Coqueiros, gestão 2011/2013, Ricardo Muller foi um ferrenho batalhador pela preservação do Mangue de Coqueiros. Chegou a montar um catálogo com fotos que ele registrou ao longo dos anos destacando a diversidade da fauna e flora do local.
Entre aves, pássaros e roedores, catalogou mais de 100 espécies: Marreco d´água; preá; siri; caranguejo; as garças Maria Faceira: garça branca; garça moura, garça azul; as aves savacu; coroa; socó; gavião carcará; gavião carrapateiro; pernilongo; e os pássaros gralha azul; canário; bem-te-vi; sabiá; viuvinha; rolinha; saracura do brejo, só para citar alguns exemplos.
E gostava de repetir que “os moradores atuaram intensamente em sua defesa e os órgãos ambientais como Floram, Ibama e ICMbio já o reconheciam como área de proteção permanente. Ele sugeriu que o local se tornasse uma área de educação ambiental.
Nossos sentimentos à família.",Meio Ambiente,"Coqueiros, Pró-Coqueiros, Meio Ambiente, Sustentabilidade, Feira",FALSE,,,,,,,
196,Chuvas em SC impedem relatório de balneabilidade das praias e IMA alerta banhistas.,17/01/2025,https://folhadecoqueiros.com.br/chuvas-em-sc-impedem-relatorio-de-balneabilidade-das-praias-e-ima-alerta-banhistas/,"Instituto ressalta a importância de evitar o contato com águas de enchentes, que podem transmitir doenças como a leptospirose
.
Em função das recentes chuvas que atingiram diversos pontos do litoral catarinense, com precipitações superiores a 250 mm em algumas localidades, e os consequentes danos materiais em balneários, rodovias, desmoronamentos de barreiras e movimentação hídrica que carreou detritos ao mar, o Instituto do Meio Ambiente de Santa Catarina (IMA), informa sobre a impossibilidade de emissão do relatório de balneabilidade previsto para esta sexta-feira, 17.
Diante deste cenário, o IMA recomenda aos banhistas que tenham cautela ao utilizar as águas balneárias, especialmente em locais próximos a deságues, braços de rios, valas e tubulações. “Além da análise da qualidade sanitária das águas, é essencial observar a segurança do local, respeitando as sinalizações, placas, bandeiras e até mesmo avisos sonoros”, reforça o gerente de Laboratório e Medições Ambientais do IMA, Marlon Daniel da Silva.
Adicionalmente, o IMA ressalta a importância de evitar o contato com águas de enchentes, pois estas podem transportar diversos contaminantes, representando risco à saúde, incluindo a possibilidade de transmissão de doenças como a leptospirose.
“Com as ações coordenadas pelos órgãos governamentais previstas para a próxima semana, acreditamos na resposta bastante positiva com relação ao uso dos nossos municípios e balneários. Nesse momento, é fundamental que todos mantenham a calma, cautela e cuidados com a higiene pessoal, alimentação e hidratação”, recomenda Marlon.
Coletas de balneabilidade ficarão suspensas na próxima semana
Devido à enxurrada no litoral, o serviço de coleta de balneabilidade nos pontos monitorados também ficará suspenso na próxima semana, entre os dias 20 e 24 de janeiro.
O trabalho é executado, regularmente, pelo Corpo de Bombeiros Militar, que possui uma parceria com o IMA, mas em virtude da necessidade emergencial do efetivo estar direcionado a prestar auxílio à população atingida pelas fortes chuvas, o roteiro de coletas não será realizado.
O serviço voltará à normalidade na segunda-feira, 27, assim como, a emissão e a divulgação dos relatórios atualizados pelo Instituto.
Atenção aos banhistas
A orientação para os usuários é que sempre evitem o banho de mar por até 24/48 horas após a ocorrência de fortes chuvas, principalmente, nas proximidades da desembocadura de rios e tubulações, pois grandes precipitações pluviométricas podem potencializar a impropriedade.
Nas chuvas, além da elevação do lençol freático, ocorre a lavação das ruas, bem como, das galerias e/ou valas ditas pluviais, que acabam chegando aos balneários e podem afetar diretamente a balneabilidade.
No site
https://balneabilidade.ima.sc.gov.br/
as informações são atualizadas automaticamente e todo cidadão pode acompanhar os últimos relatórios emitidos, bem como, o resultado mais atualizado da propriedade de cada ponto, basta clicar nas bandeirinhas que aparecem no mapa ou conferir o menu ‘histórico’.
Os dados mais recentes de balneabilidade foram divulgados no relatório nº 22 nesta quinta-feira, 16.
Foto:Arquivo/Secom",Saúde e Bem-estar,"Saúde, Centro de Saúde, Vacinação, Feira",FALSE,,,,,,,
197,Começa o esquenta para o Carnaval. Copa Lord promove seis ensaios em janeiro.,14/01/2025,https://folhadecoqueiros.com.br/comeca-o-esquenta-para-o-carnaval-copa-lord-promove-seis-ensaios-em-janeiro/,"Quem gosta de Carnaval e quer conhecer a história do artista plástico Hassis, vai ter boas oportunidades neste mês de janeiro. A partir desta quarta-feira, dia 15, até o dia 29, vão acontecer seis ensaios da Embaixada Copa Lord, Escola de Samba que vai prestar uma bela homenagem ao artista e morador de Itaguaçu.
Entre os ensaios, o ponto alto da apresentação da Escola será dia 24 na Praça XV, durante o Projeto “Volta à Praça XV”, que vai reunir 10 noites com as Escolas de Samba da Capital.
Abertos ao público, eles acontecem às 19h30, em frente à Catedral Metropolitana de Florianópolis. A abertura foi na última quinta-feira, dia 9, com a Nação Guarani (veja abaixo as datas).
Cada noite terá uma escola de samba diferente, com música, dança e animação para os dias que antecedem o Carnaval.
ENSAIOS COPA LORD
Dia 15/01 (quarta-feira)- Ensaio Show
Miramar – Centro – 19h30
Dia 20/01 (segunda-feira) – Ensaio Bateria + Grupo Musical
Miramar – Centro – 19h30
Dia 22/01 (quarta-feira) – Ensaio Show
Miramar- Centro- 19h30
Dia 24/01 (sexta-feira) – Volta à Praça XV
Centro – 19h30
Dia 27/01 (segunda-feira) – Ensaio Bateria + Grupo Musical
Miramar – Centro – 19h30
Dia 29/01 (quarta-feira) – Ensaio Show
Miramar – Centro – 19h30
VOLTA À PRAÇA XV
09/01 – 19h30 – Nação Guarani
10/01 – 19h30 – Jardim das Palmeiras
11/01 – 19h30 – Acadêmicos do Sul da Ilha
16/01 – 19h30 – Império Vermelho e Branco
17/01 – 19h30 – Dascuia
18/01 – 19h30 – Os Protegidos da Princesa
24/01 – 19h30 – Embaixada Copa Lord
25/01 – 19h30 – Unidos da Coloninha
31/01 – 19h30 – União da Ilha da Magia
01/02 – 19h30 – Consulado","Cultura, Eventos e Gastronomia","Florianópolis, Itaguaçu, Cultura, Evento, Gastronomia",TRUE,Festas e Celebrações,15/01/2025,,Itaguaçu,19:30,FALSE,"R$0,00"
198,Um bom exemplo: antiga escadaria de Coqueiros recebe um colorido especial.,13/01/2025,https://folhadecoqueiros.com.br/um-bom-exemplo-antiga-escadaria-de-coqueiros-recebe-um-colorido-especial/,"Artistas grafiteiros e moradores se mobilizam e transformam o local num “museu a céu aberto”.
Depois de décadas servindo de travessia para moradores que transitam entre as ruas Antônio José Duarte e Júlio Dias, em Coqueiros, a escadaria Madelene Hiller Duarte (dona Nina), ganhou um novo visual. Vizinhos e 25 artistas grafiteiros iniciaram neste domingo, dia 12, a colorir os muros laterais da escadaria que tem cerca de 114 degraus distribuídos em mais ou menos 150 metros.
“É uma maneira de revitalizar o nosso espaço que é praticamente o caminho de todos que moram entre essas duas ruas. Tanto pra fazer compras em Coqueiros como para acessar a Avenida Max de Souza e   manter outras atividades no dia-a-dia”, aponta Simone Simon que desde 2017 reside no condomínio Mirante do Porto, localizado na Rua Antônio José Duarte.
Idealizadora do movimento, Simone diz que a mobilização recebeu o acolhimento dos vizinhos e dos artistas que estão participando de forma voluntária. “Em decorrência dessa ação, a arte vai multiplicar-se para outros locais na redondeza. É a escadaria gerando frutos”, define Simone, lembrando que o muro na entrada da Rua Júlio Dias também foi revitalizado.
Segundo ela, o grafite- ao utilizar cores claras e vibrantes – também vai contribuir com a circulação e segurança de pessoas durante a noite.
DUAS ETAPAS
A atividade será feita em duas etapas. A primeira, realizada neste domingo, foi a pintura das laterais. Ao todo, os artistas grafitaram três murais ao longo do caminho. Com temática livre, cada um deixou o seu  estilo estampado. Uns, com tipografia, outros com personagens e alguns preferiram destacar a fauna e a flora. A segunda etapa vai envolver os degraus da escadaria.
“Um museu a céu aberto”, define Lucas Rodolfo Antunes, mais conhecido no meio artístico como Kais, e responsável pela organização e convite aos artistas. Gaúcho da cidade de Canoas, mas morando em Florianópolis há bastante tempo, Lucas informa que, além dele, os demais grafiteiros são de várias localidades: Palhoça, São José, Itapema e até do Piauí.
Mas não foi apenas a turma de fora do bairro que resolveu abraçar a ideia: o estudante Noah, de 13 anos, morador da Rua Júlio Dias, também deixou sua marca no muro da rua em que reside. “Desde os 11 anos que ele gosta do grafite”, diz a mãe Sthéphany Rodrigues, mostrando o caderno com os desenhos e assinatura do seu nome que ele costuma praticar antes de exercer a “arte urbana”,
Tendo como referência o conhecido grafiteiro
Vejam
, Noah diz que a arte não deve ser apreciada só em museus, mas que também deve ser acessível para todos. “Assim, uma criança pode se inspirar e despertar a vontade de desenhar, por exemplo”, emenda a mãe.
Além do Noah, outros artistas deixaram seus registros no muro: o Jonathan e o próprio
Vejam
(foto abaixo), que tem vários trabalhos espalhados pela cidade.  Artista visual com raízes no grafite, ele acumula 25 anos de carreira. “Em Coqueiros já pintei muitas vezes, um bairro que sempre aceitou o grafite. A ideia é conquistar cada vez mais espaços para a arte”, defende.
UM POUCO DA HISTÓRIA
Programada para ser uma servidão o que foi descartado por conta da estrutura íngreme, a escadaria foi construída há cerca de 20 anos quando foram erguidos, próximos ao local, dois prédios na Rua Antônio José Duarte.
“Foi a construtora que resolveu construir para valorizar os empreendimentos”, coloca o aposentado Flamir Fernandes Duarte, acrescentando que a primeira passagem foi erguida, por ele, de madeira para evitar o barro e alagamentos em dias de chuva.
Irmão de Madelene Hiller Duarte, a conhecida dona Nina que dá nome à escadaria, seu Flamir diz que na década de 30 a passagem servia para as moradoras descerem até a Rua Euclides de Castro (antes o mar vinha até a Max de Souza) para lavar roupas.
Segundo ele, a escolha do nome se deu em uma reunião entre os vizinhos que resolveram homenagear a conhecida dona Nina. “Além de outras atividades, minha irmã – falecida em junho de 2015 -foi uma das lutou para manter a travessia”, conta seu Flamir, ao destacar que o processo foi encaminhado ao ex-vereador e morador do bairro, Marquinhos Silva, autor do projeto aprovado na Câmara de Vereadores de Florianópolis.
Seu Flamir faz parte de uma extensa família que dá nome à rua em que mora: a Antônio José Duarte, em homenagem ao seu avô. Filho de Antônio Duarte Júnior e de Clotilde Thilia Livramento Rosa, seu Flamir é um dos 9 irmãos – ao lado de mais quatro – que ainda estão vivos.
ARTE URBANA
O grafite é uma das principais formas de manifestação da arte urbana. Muito presente nas vias públicas, os desenhos são feitos à mão, e cobrem muros, fachadas e paredes pelas cidades. Atualmente, o grafite é uma das manifestações culturais mais crescentes no mundo.
De origem italiana, a palavra grafite vem de “graffiti”, plural de “graffito”, que em sua tradução quer dizer “escrita feita com carvão”. Ele também pode ser chamado de grafito ou grafiti.
Ainda existe um certo preconceito e o grafite é visto por alguns como vandalismo e poluição visual. Ao mesmo tempo, ele vem ganhando cada vez mais a admiração das pessoas. O seu objetivo principal é ocupar os espaços e deixar algum tipo de reflexão para quem os vê.
Fonte:
https://www.educamaisbrasil.com.br/enem/artes/grafite-arte-urbana
GALERIA
Fotos: Sibyla Loureiro, Mariza Pecoits e Simone Simon","Cultura, Eventos e Gastronomia","Coqueiros, Florianópolis, Cultura, Evento, Gastronomia",FALSE,,,,,,,
199,Novo semáforo em operação na Avenida Max de Souza já está com problemas.,09/01/2025,https://folhadecoqueiros.com.br/novo-semaforo-em-operacao-na-avenida-max-de-souza-ja-esta-com-problemas/,"Recém-instalado na esquina das avenidas Engenheiro Max de Souza e Almirante Tamandaré, em Coqueiros, o semáforo já apresenta problemas. Morador do bairro envia fotos à Folha de Coqueiros  mostrando falha no equipamento em frente à Farmácia São João.
A lâmpada verde do semáforo para pedestres está queimada e, portanto, só está funcionando o sinal vermelho. Com isso, quem pretende atravessar a avenida ou evita cruzar a via ou está se arriscando no trânsito.
Aguardado por vários anos pela comunidade, o equipamento foi bem recebido pela Associação de Moradores de Coqueiros – Pró-Coqueiros – que há muito tempo reivindicava o sistema à Prefeitura de Florianópolis, já que o antigo – volta e meia – ficava intermitente.
Sendo assim, uma vez que o cruzamento apresenta um grande fluxo de veículos, o equipamento visa ampliar a segurança no trânsito e reduzir os riscos de acidentes.
Em outubro de 2023, inclusive, a entidade promoveu uma mobilização na avenida principal de Coqueiros para alertar os órgãos públicos sobre a falta de segurança na via, especialmente por conta da travessia de alunos que frequentam as escolas da redondeza.
Confira a matéria da mobilização no trânsito:
https://folhadecoqueiros.com.br/comunidade-de-coqueiros-exige-mais-seguranca-no-transito-da-max-de-souza/",Infraestrutura e Mobilidade,"Coqueiros, Florianópolis, Pró-Coqueiros, Prefeitura, Infraestrutura",FALSE,,,,,,,
200,Carnaval 2025: Já estão à venda as camisetas para Ala dos Amigos de Hassis.,08/01/2025,https://folhadecoqueiros.com.br/carnaval-2025-ja-estao-a-venda-as-camisetas-para-ala-dos-amigos-de-hassis-da-copa-lord/,"Quem quiser fazer parte da homenagem promovida ao artista plástico Hassis, vai ter uma boa oportunidade. Entre as alas que vão compor o desfile da Escola de Samba Embaixada Copa Lord no Carnaval 2025, uma delas vai reunir “Os Amigos de Hassis”.
Para tanto, já estão à venda as camisetas e algumas regras básicas (veja abaixo) para participar do desfile que acontece dia 28 de fevereiro, sexta-feira, na Passarela Nego Quirido, a partir das 02h30.
Hassis será lembrado pela Escola com o samba-enredo
“Ontemanhã- O Tempo nos traços de Hassis”.
Com certeza, o público vai se encantar com muita arte, cor e alegria, as principais características do artista que morou em Itaguaçu, onde hoje funciona a Fundação que leva o seu nome.
SERVIÇO
Preço promocional das camisetas
: R$ 150,00 – até o dia 10/01
Como comprar:
pelo WhatsApp 48 99131-0107
Como usar a fantasia:
Parte de cima camisa oficial (inclusa no valor)
Calça branca mais sapato branco liso (por conta própria)
É obrigatório o uniforme completo para evitar perda de pontos
Dia do desfile:
sexta-feira, dia 28 de fevereiro
Horário do desfile:
02h30 às 03h40
CONFIRA O DESFILE DAS DEMAIS ESCOLAS DE SAMBA
28 DE FEVEREIRO – SEXTA-FEIRA
21h10 às 22h20
: NAÇÃO GUARANI
22h30 às 23h40:
DASCUIA
23h50 às 01h00
: ACADÊMICOS DO SUL DA ILHA
01h10 às 02h20
: UNIDOS DA COLONINHA
02h30 às 03h40
: EMBAIXADA COPA LORD
01 DE MARÇO – SÁBADO
21h10 às 22h20:
IMPÉRIO VERMELHO E BRANCO
22h30 às 23h40:
CONSULADO
23h50 às 01h00
: UNIÃO DA ILHA DA MAGIA
01h10 às 02h20:
JARDIM DAS PALMEIRAS
02h30 às 03h40
: PROTEGIDOS DA PRINCESA
SAIBA MAIS","Cultura, Eventos e Gastronomia","Itaguaçu, Cultura, Evento, Gastronomia, Feira",FALSE,,,,,,,
201,"Festa da virada atrai um grande público na Praia da Saudade, em Coqueiros.",01/01/2025,https://folhadecoqueiros.com.br/festa-da-virada-do-ano-na-praia-da-saudade-atrai-um-grande-publico/,"Mais uma vez a Praia da Saudade foi palco de uma bela festa. Centenas de pessoas se reuniram na orla para comemorar a chegada de 2025 e assistir à tradicional queima de fogos.
Muitos aproveitaram a balneabilidade da praia para se refrescar na água do mar, especialmente a criançada. Outros dançaram na areia e celebraram o amor. Outros simplesmente acomodaram as suas cadeiras à beira-mar ou nos deques e confraternizaram com amigos e família a virada do ano.
Parabéns aos organizadores, em especial ao Deives, e comerciantes que se uniram para promover o evento.
Um Bom Ano para todos.
Fotos @plcapocci976
GALERIA",Economia e Negócios,"Coqueiros, Praia da Saudade, Economia, Comércio, Festa",FALSE,,,,,,,
202,"Prepare a cadeira: vai ter festa de final de ano na Praia da Saudade, em Coqueiros.",27/12/2024,https://folhadecoqueiros.com.br/prepare-a-cadeira-vai-ter-festa-de-final-de-ano-na-praia-da-saudade/,"A exemplo dos últimos anos, a virada de 2024 poderá ser celebrada na Praia da Saudade, em Coqueiros. Comerciantes locais se uniram e vão disponibilizar uma balsa com queima de fogos, que terá duração de oito minutos.
Em respeito aos animais, idosos, autistas e crianças pequenas, principalmente, os fogos usados na Praia da Saudade serão com menos barulho, sem estampido. Quem garante é o corretor Deives Dias, que promove o evento desde 2020.
“Nossa proposta é organizar uma festa para as famílias em Coqueiros, num lugar bonito e tranquilo”, aponta Deives, já avisando que a previsão, na virada, é de tempo bom e sem chuva.
Bares que ficam próximos à orla estarão funcionando como o Point do Piva, entre outros, fornecendo bebidas e alimentação.
Mas quem quiser levar a sua cadeira de praia – acompanhada de comes e bebes – é uma boa pedida para celebrar a chegada de 2025 com amigos e família.
Mais informações para colaborar com a festa é só entrar em contato com Deives pelo WhatsApp 48 9626-9635.",Economia e Negócios,"Coqueiros, Praia da Saudade, Economia, Comércio, Festa",FALSE,,,,,,,
203,Espaço Denise Crippa encerra o ano com boas energias. E anuncia novidades para 2025.,27/12/2024,https://folhadecoqueiros.com.br/espaco-denise-crippa-encerra-o-ano-com-boas-energias-e-anuncia-melhorias-para-2025/,"Estúdio celebra aniversário ano que vem com melhorias na estrutura interna. Venha conhecer.
Às vésperas de completar 15 anos, o Espaço Denise Crippa convida a todos para um momento de reflexão e de renovação. Afinal, o ano está chegando ao fim e é hora de celebrar as conquistas.
Cada movimento, cada respiração, cada progresso individual é resultado de um trabalho conjunto que só traz orgulho à equipe do Espaço Denise Crippa.
E 2025 não será diferente. Continuaremos focados no bem-estar físico e mental, criando um ambiente acolhedor onde todos podem se sentir mais fortes e mais saudáveis. Seja superando dores, melhorando a postura ou ganhando mais flexibilidade.
Então, convidamos a todos para renovar o compromisso com o autocuidado e focar nas metas para melhoria da qualidade de vida. Nosso Espaço continuará sendo o seu lugar para alcançar novos objetivos e transformar suas limitações em vitórias.
Venha começar o ano no Espaço Denise Crippa e experimente os benefícios do Pilates para corpo e mente!
Queremos festejar o 15º aniversário com todos vocês, nossos principais homenageados. Para nós, não é apenas uma data no calendário, mas sim um tempo de perseverança e dedicação e êxito.
Obrigada aos queridos alunos, colaboradores e a parceria da AABB que nos acompanharam nessa jornada. Até 2025
CONHEÇA O ESPAÇO
Localizado de frente para o mar,
o Espaço Denise Crippa oferece um ambiente amplo e climatizado voltado para prática de Pilates, além de  outras modalidades como fisioterapia e massoterapia.
Aberto ao público,
o Estúdio atende crianças a partir de 12 anos, adolescentes com problemas de postura ou que praticam algum tipo de esporte, além de gestantes, idosos, adultos, e pessoas que estão se recuperando de lesões.
Ministradas por fisioterapeutas,
as aulas podem ser de forma individual, em dupla ou em grupo. Vai depender da escolha do aluno ou da sua necessidade, caso esteja com alguma lesão, recuperação de cirurgia ou com alguma limitação.
O Espaço fica em meio à natureza da sede da AABB de Coqueiros,
e está situado anexo ao ginásio de esportes, em frente às quadras esportivas, do Castelinho e em frente ao mar da Praia de Itaguaçu.
Horário flexível:
atende alunos que trabalham e não dispõem de tempo, no horário comercial, para fazer Pilates. Por isso, o Estúdio funciona das 06h às 21h, de segunda a quinta, e sextas-feiras das 06h às 18h. Sábado, as aulas são com hora marcada.
Além do Pilates, o Espaço Denise Crippa
oferece fisioterapia individualizada; massoterapia; terapia manual e depilação a laser.
Sócios da AABB têm desconto
na mensalidade e estacionamento.
Experiência:
Denise Crippa é formada em Fisioterapia pela Univali há quase 20 anos e mantém parceria com o clube desde 2010. Portanto, o Espaço completa no ano que vem, 15 anos de existência.
Novidades para 2025:
Entre elas, a proposta de ampliação que é remover a parede em frente à praia e colocar vidros. Além de melhorias e novos equipamentos. Com isso, os alunos poderão fazer Pilates com os melhores equipamentos, e em um ambiente acolhedor e curtindo a natureza.
SERVIÇO
Espaço Denise Crippa
Local:
AABB de Coqueiros
Endereço:
Avenida Desembargador Pedro Silva, 2809.
Horários:
06h às 21h de segunda a quinta, e sexta-feira das 06h às 18h. Sábado com hora marcada.
Modalidades oferecidas:
Pilates; fisioterapia individualizada; massoterapia; terapia manual e depilação a laser.
Descontos:
valor especial para associado
Estacionamento",Saúde e Bem-estar,"Coqueiros, Itaguaçu, AABB, Saúde, Centro de Saúde",FALSE,,,,,,,
204,Um bom exemplo: funcionários da Celesc promovem limpeza no Parque de Coqueiros.,26/12/2024,https://folhadecoqueiros.com.br/um-bom-exemplo-funcionarios-da-celesc-promovem-limpeza-no-parque-de-coqueiros/,"Leitora da
Folha de Coqueiros,
Simone Araújo, enviou foto elogiando o trabalho de funcionários da Celesc que, nesta quinta-feira, promoveram a limpeza da areia da praia no Parque de Coqueiros. Trata-se de um belo exemplo do Programa Celesc Voluntária que também conta com a ajuda da Comcap e já passou por outros bairros do Continente.
Só para exemplificar, no Balneário do Estreito, em quatro horas de trabalho, foi recolhido volume suficiente para encher uma caçamba da Comcap com cinco metros cúbicos de resíduos. Os responsáveis pela ação foram dez eletricistas do plantão da Agência Regional de Florianópolis.
Eles se reuniram para realizar uma ação voluntária para limpeza da praia do Balneário, retirando resíduos e plásticos deixados pela areia. O grupo teve o acompanhamento da Comcap durante toda a ação, segundo informações da Assessoria de Comunicação da Celesc.
Obrigada Simone pelo registro da ação
.
SAIBA MAIS
O voluntariado corporativo é uma prática em que empresas incentivam e permitem que sua força de trabalho dediquem parte do seu tempo e habilidades para ajudar em projetos e atividades com impacto social ou ambiental. Essas iniciativas vão além das atividades regulares de negócios e visam contribuir positivamente para a comunidade e a sociedade em geral. A partir do mapeamento das necessidades de instituições sociais, a Celesc disponibiliza aos(as) empregados(as) a oportunidade de desenvolver ações voluntárias na área que possui maior afinidade dentro das diretrizes da gestão da Responsabilidade Social. Esse é o escopo do Programa Celesc Voluntária da Assessoria de Responsabilidade Social.",Infraestrutura e Mobilidade,"Coqueiros, Florianópolis, Celesc, Infraestrutura, Mobilidade",FALSE,,,,,,,
205,Empresário rebate notícia veiculada na TV. Indaiara vai fechar a pedido da prefeitura.,23/12/2024,https://folhadecoqueiros.com.br/empresario-rebate-noticia-veiculada-na-tv-indaiara-vai-fechar-a-pedido-da-prefeitura/,"Foto Paulo Capocci
Notícia veiculada por um comunicador nesta segunda-feira, no Programa Balanço Geral, da NDTV, foi desmentida pelo empresário Edilson Brognoli. Segundo a informação, uma construtora (não apontaram o nome e nem o destino do terreno) teria comprado a Floricultura Indaiara, que está no bairro de Coqueiros há 40 anos. E que a mesma, por conta disso, iria encerrar as suas atividades no próximo dia 31 de dezembro.
De acordo com o empresário, a Floricultura irá fechar a pedido da Prefeitura de Florianópolis que irá ampliar as dependências do Colégio Municipal Almirante Carvalhal, já que o terreno pertence ao Executivo Municipal.
NOTA ENVIADA PELO EMPRESÁRIO À FOLHA DE COQUEIROS
Boa tarde Sibyla,
“Por aí se vê como as notícias são divulgadas sem preocupação nenhuma de veracidade. Realmente, gostaria que tu como boa jornalista e dedicada que sempre fostes, esclarecesses que o imóvel foi construído por mim, com permissão de uso pela PMF, pois o terreno a ela pertence. Como foi pedido pela mesma para ampliação da Escola Carvalhal que receberá um recurso do BIRD para isso, prontamente eu decidi pelo fechamento da Floricultura. Esse é o fato que deve realmente ser divulgado”.",Educação,"Coqueiros, Florianópolis, Prefeitura, Educação, Escola",FALSE,,,,,,,
206,PROGRAME-SE: Domingo tem Natal na Vila Aparecida. Festa começa às 18h.,20/12/2024,https://folhadecoqueiros.com.br/programe-se-domingo-tem-natal-na-vila-aparecida-festa-comeca-as-18h/,"Depois de passar por diversas localidades da cidade, o Natal nos Bairros chega neste domingo, dia 22, à Vila Aparecida, em Coqueiros. O evento começa às 18h e acontece na Arena de Esportes da Comunidade.
A exemplo dos demais bairros, a programação reúne intervenções artísticas com personagens do imaginário natalino e apresentações musicais e da cultura popular local, incluindo boi-de-mamão. Também terá a presença do Papai Noel e espaço para fazer fotos com o Bom Velhinho.
“O Natal nos Bairros é mais um evento que vai encantar as famílias de Floripa. O Papai Noel estará em todas as regiões da cidade, com muita magia e alegria para conhecer os pequenos”, afirma o prefeito Topázio Neto.
O Natal nos Bairros 2024 é uma realização do Instituto Maratona Cultural, Ministério da Cultura e Governo Federal. Patrocínio de Engie, Koerich, Casan e Quantum Engenharia, através da Lei Federal de Incentivo à Cultura. Apoio Institucional: Prefeitura Municipal de Florianópolis e CDL Florianópolis.
Veja as demais localidades que fizeram parte do Projeto Natal nos Bairros.
https://folhadecoqueiros.com.br/programe-se-nesta-terca-feira-tem-natal-no-parque-de-coqueiros/",Política e Gestão Pública,"Coqueiros, Florianópolis, Prefeitura, Casan, Política",TRUE,Festas e Celebrações,22/12/2024,,Coqueiros,18:00,FALSE,"R$0,00"
207,PROGRAME-SE: Dia 19 tem ensaio da Escola Copa Lord no Parque de Coqueiros.,18/12/2024,https://folhadecoqueiros.com.br/programe-se-dia-19-tem-ensaio-da-escola-de-samba-copa-lord-no-parque-de-coqueiros/,"Desfile começa às 19h e será embalado pela trajetória do artista plástico Hassis. Venha conhecer.
Com o samba-enredo
“Ontemanhã- O Tempo nos traços de Hassis”
a Escola Embaixada Copa Lord vai mostrar no Parque de Coqueiros o que será destaque no Carnaval 2025: muita arte, cor e alegria. Será uma homenagem merecida ao artista plástico Hiedy de Assis Corrêa, o Hassis, que foi um carnavalesco nato.
Além de eleger a Copa Lord como a sua escola de coração, Hassis decorou salões de Clubes tradicionais da cidade como o Clube Doze e Lira. O artista faleceu em 2001 e hoje a sua casa, no bairro Itaguaçu, abriga a Fundação Hassis, instituição mantida pelas filhas e diretoras Luciana e Leilah.
De autoria de sete compositores (veja abaixo), o samba oficial da escola destaca as referências de Hassis. Na primeira estrofe, a ênfase fica por conta da sua arte definida em seus quadros como o folclore ilhéu, a procissão e o circo.
Além de citar o bairro que sempre morou, Itaguaçu, o mar e o Vento Sul.
Já a segunda parte, mostra o lado social de Hassis “pecados capitais e os desiguais em guerra. Será a humanidade a grande cruz da terra? …..Contra o rancor sou liberdade…….. Que o sentimento do artista, resista pela cidade”.",Educação,"Coqueiros, Itaguaçu, Alesc, Fundação Hassis, Educação",TRUE,"Artes, Cultura e Entretenimento",19/12/2024,,Fundação Hassis,19:00,FALSE,"R$0,00"
